Model,MSO3054
Firmware Version,2.31

Waveform Type,Analog
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-06
Horizontal Delay,0
Sample Interval,4e-09
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,0
Label,
TIME,CH1
-1.7200e-05,0.024
-1.7196e-05,-0.072
-1.7192e-05,0.056
-1.7188e-05,0.0136
-1.7184e-05,-0.0696
-1.7180e-05,0.0648
-1.7176e-05,0.0016
-1.7172e-05,-0.0648
-1.7168e-05,0.0728
-1.7164e-05,-0.0088
-1.7160e-05,-0.0616
-1.7156e-05,0.0752
-1.7152e-05,-0.02
-1.7148e-05,-0.0488
-1.7144e-05,0.076
-1.7140e-05,-0.0344
-1.7136e-05,-0.0392
-1.7132e-05,0.076
-1.7128e-05,-0.0472
-1.7124e-05,-0.0312
-1.7120e-05,0.0768
-1.7116e-05,-0.0488
-1.7112e-05,-0.0168
-1.7108e-05,0.072
-1.7104e-05,-0.0592
-1.7100e-05,-0.004
-1.7096e-05,0.0672
-1.7092e-05,-0.0664
-1.7088e-05,0.0072
-1.7084e-05,0.0624
-1.7080e-05,-0.0712
-1.7076e-05,0.016
-1.7072e-05,0.0536
-1.7068e-05,-0.076
-1.7064e-05,0.028
-1.7060e-05,0.0456
-1.7056e-05,-0.0792
-1.7052e-05,0.0376
-1.7048e-05,0.0328
-1.7044e-05,-0.0776
-1.7040e-05,0.0496
-1.7036e-05,0.0264
-1.7032e-05,-0.072
-1.7028e-05,0.0568
-1.7024e-05,0.0112
-1.7020e-05,-0.0688
-1.7016e-05,0.068
-1.7012e-05,0.0048
-1.7008e-05,-0.0648
-1.7004e-05,0.0712
-1.7000e-05,-0.0096
-1.6996e-05,-0.0552
-1.6992e-05,0.0728
-1.6988e-05,-0.02
-1.6984e-05,-0.048
-1.6980e-05,0.076
-1.6976e-05,-0.032
-1.6972e-05,-0.04
-1.6968e-05,0.0784
-1.6964e-05,-0.0424
-1.6960e-05,-0.0272
-1.6956e-05,0.076
-1.6952e-05,-0.0496
-1.6948e-05,-0.0208
-1.6944e-05,0.0736
-1.6940e-05,-0.0576
-1.6936e-05,-0.004
-1.6932e-05,0.0672
-1.6928e-05,-0.0656
-1.6924e-05,0.004
-1.6920e-05,0.0624
-1.6916e-05,-0.0744
-1.6912e-05,0.0168
-1.6908e-05,0.0528
-1.6904e-05,-0.0744
-1.6900e-05,0.0272
-1.6896e-05,0.0496
-1.6892e-05,-0.076
-1.6888e-05,0.0344
-1.6884e-05,0.036
-1.6880e-05,-0.076
-1.6876e-05,0.048
-1.6872e-05,0.0272
-1.6868e-05,-0.0768
-1.6864e-05,0.056
-1.6860e-05,0.0168
-1.6856e-05,-0.072
-1.6852e-05,0.0648
-1.6848e-05,0.0024
-1.6844e-05,-0.064
-1.6840e-05,0.0656
-1.6836e-05,-0.0064
-1.6832e-05,-0.0608
-1.6828e-05,0.0744
-1.6824e-05,-0.02
-1.6820e-05,-0.052
-1.6816e-05,0.0784
-1.6812e-05,-0.0296
-1.6808e-05,-0.0408
-1.6804e-05,0.0808
-1.6800e-05,-0.0392
-1.6796e-05,-0.0312
-1.6792e-05,0.0768
-1.6788e-05,-0.0496
-1.6784e-05,-0.0192
-1.6780e-05,0.0728
-1.6776e-05,-0.0584
-1.6772e-05,-0.0072
-1.6768e-05,0.0704
-1.6764e-05,-0.0656
-1.6760e-05,0.0088
-1.6756e-05,0.0648
-1.6752e-05,-0.0696
-1.6748e-05,0.0152
-1.6744e-05,0.0552
-1.6740e-05,-0.0736
-1.6736e-05,0.0264
-1.6732e-05,0.0496
-1.6728e-05,-0.0744
-1.6724e-05,0.036
-1.6720e-05,0.0376
-1.6716e-05,-0.0736
-1.6712e-05,0.0472
-1.6708e-05,0.0264
-1.6704e-05,-0.0744
-1.6700e-05,0.0536
-1.6696e-05,0.0184
-1.6692e-05,-0.072
-1.6688e-05,0.0616
-1.6684e-05,0.0032
-1.6680e-05,-0.0672
-1.6676e-05,0.0688
-1.6672e-05,-0.0056
-1.6668e-05,-0.06
-1.6664e-05,0.0736
-1.6660e-05,-0.0168
-1.6656e-05,-0.0504
-1.6652e-05,0.0792
